"Dias desde o início da epidemia";"#BR: São Paulo"
"Dia 1";0
"Dia 2";0
"Dia 3";0
"Dia 4";0
"Dia 5";0
"Dia 6";0
"Dia 7";0
"Dia 8";0
"Dia 9";0
"Dia 10";0
"Dia 11";0
"Dia 12";0
"Dia 13";0
"Dia 14";0
"Dia 15";0
"Dia 16";0
"Dia 17";0
"Dia 18";0
"Dia 19";0
"Dia 20";0,61
"Dia 21";1,25
"Dia 22";1,75
"Dia 23";2,27
"Dia 24";3,79
"Dia 25";3,49
"Dia 26";4,03
"Dia 27";4,94
"Dia 28";5,57
"Dia 29";5,51
"Dia 30";5,56
"Dia 31";5,97
"Dia 32";6,75
"Dia 33";7,45
"Dia 34";5,81
"Dia 35";5,5
"Dia 36";5,36
"Dia 37";5,41
"Dia 38";5,82
"Dia 39";5,95
"Dia 40";6,25
"Dia 41";6,53
"Dia 42";6,38
"Dia 43";6,63
"Dia 44";6,57
"Dia 45";6,65
"Dia 46";6,72
"Dia 47";6,84
"Dia 48";7,42
"Dia 49";7,05
"Dia 50";7,37
"Dia 51";7,23
"Dia 52";7,13
"Dia 53";7,11
"Dia 54";7,11
"Dia 55";7,1
"Dia 56";7,13
"Dia 57";8,03
"Dia 58";8,48
"Dia 59";8,33
"Dia 60";8,21
"Dia 61";8,41
"Dia 62";8,52
"Dia 63";8,59
"Dia 64";8,28
"Dia 65";8,27
"Dia 66";8,3
"Dia 67";8,27
"Dia 68";8,25
"Dia 69";8,37
"Dia 70";8,04
"Dia 71";8,03
"Dia 72";8,17
"Dia 73";8,12
"Dia 74";8,16
"Dia 75";8,11
"Dia 76";8,28
"Dia 77";8,06
"Dia 78";7,95
"Dia 79";7,71
"Dia 80";7,66
"Dia 81";7,67
"Dia 82";7,65
"Dia 83";7,8
"Dia 84";7,68
"Dia 85";7,54
"Dia 86";7,51
"Dia 87";7,5
"Dia 88";7,5
"Dia 89";7,44
"Dia 90";7,47
"Dia 91";7,5
"Dia 92";7,28
"Dia 93";7,16
"Dia 94";7,03
"Dia 95";6,94
"Dia 96";6,89
"Dia 97";6,76
"Dia 98";6,7
"Dia 99";6,63
"Dia 100";6,57
"Dia 101";6,44
"Dia 102";6,39
"Dia 103";6,35
"Dia 104";6,34
"Dia 105";6,31
"Dia 106";6,24
"Dia 107";6,18
"Dia 108";6,12
"Dia 109";6
"Dia 110";5,93
"Dia 111";5,85
"Dia 112";6,02
"Dia 113";6,15
"Dia 114";5,78
"Dia 115";5,79
"Dia 116";5,74
"Dia 117";5,69
"Dia 118";5,69
"Dia 119";5,59
"Dia 120";5,53
"Dia 121";5,4
"Dia 122";5,37
"Dia 123";5,28
"Dia 124";5,23
"Dia 125";5,25
"Dia 126";5,18
"Dia 127";5,08
"Dia 128";5,05
"Dia 129";5,12
"Dia 130";5,02
"Dia 131";4,99
"Dia 132";4,95
"Dia 133";4,92
"Dia 134";4,89
"Dia 135";4,86
"Dia 136";4,82
"Dia 137";4,8
"Dia 138";4,78
"Dia 139";4,74
"Dia 140";4,74
"Dia 141";4,74
"Dia 142";4,76
"Dia 143";4,77
"Dia 144";4,75
"Dia 145";4,75
"Dia 146";4,77
"Dia 147";4,67
"Dia 148";4,62
"Dia 149";4,58
"Dia 150";4,49
"Dia 151";4,46
"Dia 152";4,44
"Dia 153";4,41
"Dia 154";4,35
"Dia 155";4,29
"Dia 156";4,24
"Dia 157";4,21
"Dia 158";4,17
"Dia 159";4,17
"Dia 160";4,12
"Dia 161";4,12
"Dia 162";4,08
"Dia 163";4,07
"Dia 164";4,02
"Dia 165";4
"Dia 166";4
"Dia 167";4
"Dia 168";3,95
"Dia 169";3,9
"Dia 170";3,88
"Dia 171";3,84
"Dia 172";3,84
"Dia 173";3,83
"Dia 174";3,84
"Dia 175";3,82
"Dia 176";3,82
"Dia 177";3,83
"Dia 178";3,79
"Dia 179";3,77
"Dia 180";3,77
"Dia 181";3,78
"Dia 182";3,76
"Dia 183";3,75
"Dia 184";3,73
"Dia 185";3,74
"Dia 186";3,73
"Dia 187";3,73
"Dia 188";3,73
"Dia 189";3,71
"Dia 190";3,69
"Dia 191";3,68
"Dia 192";3,67
"Dia 193";3,66
"Dia 194";3,66
"Dia 195";3,66
"Dia 196";3,67
"Dia 197";3,67
"Dia 198";3,66
"Dia 199";3,66
"Dia 200";3,65
"Dia 201";3,65
"Dia 202";3,66
"Dia 203";3,66
"Dia 204";3,65
"Dia 205";3,64
"Dia 206";3,64
"Dia 207";3,63
"Dia 208";3,63
"Dia 209";3,62